evm.utg1002.1	1002	334
evm.utg1002.10	675	225
evm.utg1002.11	915	305
evm.utg1002.12	1041	347
evm.utg1002.13	1719	573
evm.utg1002.14	2034	678
evm.utg1002.15	5001	1667
evm.utg1002.16	1968	656
evm.utg1002.17	960	320
evm.utg1002.18	3687	1229
evm.utg1002.19	1113	371
evm.utg1002.2	252	84
evm.utg1002.20	462	154
evm.utg1002.21	1032	344
evm.utg1002.22	1113	371
evm.utg1002.22.1.5c22e7a2	1026	342
evm.utg1002.22.2.5c22e7a2	840	280
evm.utg1002.22.2.5c22e7a2.1.5c278e7b	642	214
evm.utg1002.23	258	86
evm.utg1002.23.1.5c22e7a0	210	70
evm.utg1002.24	1251	417
evm.utg1002.25	13608	4536
evm.utg1002.26	975	325
evm.utg1002.26.1.5c22e7a0	972	324
evm.utg1002.27	1119	373
evm.utg1002.28	291	97
evm.utg1002.29	1044	348
evm.utg1002.3	1221	407
evm.utg1002.30	1140	380
evm.utg1002.31	429	143
evm.utg1002.32	735	245
evm.utg1002.33	813	271
evm.utg1002.34	894	298
evm.utg1002.35	1140	380
evm.utg1002.36	366	122
evm.utg1002.37	483	161
evm.utg1002.38	1044	348
evm.utg1002.39	1560	520
evm.utg1002.4	270	90
evm.utg1002.40	906	302
evm.utg1002.41	1671	557
evm.utg1002.42	873	291
evm.utg1002.5	2502	834
evm.utg1002.6	447	149
evm.utg10026.1	1686	562
evm.utg10026.10	375	125
evm.utg10026.11	528	176
evm.utg10026.1.1.5c22e79b	1572	524
evm.utg10026.12	1941	647
evm.utg10026.1.2.5c22e79b	1314	438
evm.utg10026.13	693	231
evm.utg10026.1.3.5c22e79b	1683	561
evm.utg10026.14	462	154
evm.utg10026.1.4.5c22e79b	1197	399
evm.utg10026.15	1392	464
evm.utg10026.1.5.5c22e79b	1686	562
evm.utg10026.16	1971	657
evm.utg10026.16.1.5c22e79c	1965	655
evm.utg10026.16.1.5c22e79c.2.5c278e79	1998	666
evm.utg10026.16.2.5c22e79d	1950	650
