evm.utg4.3	tr|A0A6P8J6P1|A0A6P8J6P1_ACTTE	100	259	0	0	1	259	1	259	1.77e-188	519
evm.utg4.4	tr|A0A6P8J1S8|A0A6P8J1S8_ACTTE	99.6	248	1	0	1	248	1	248	5.51e-180	498
evm.utg4.6	tr|A7T129|A7T129_NEMVE	44.4	126	47	8	12	127	10	122	8.35e-14	70.1
evm.utg4.7	tr|A0A6P8J9J7|A0A6P8J9J7_ACTTE	99.9	705	1	0	1	705	52	756	0.0	1419
evm.utg4.8	tr|A0A6P8J6J5|A0A6P8J6J5_ACTTE	100	267	0	0	1	267	1	267	1.08e-177	492
evm.utg4.9	tr|A0A6P8J1Y9|A0A6P8J1Y9_ACTTE	100	411	0	0	1	411	1	411	1.02e-300	815
evm.utg4.11	tr|A0A6P8J0X1|A0A6P8J0X1_ACTTE	95.1	596	7	1	1	596	1	574	0.0	1117
evm.utg4.12	tr|A0A6P8J9K6|A0A6P8J9K6_ACTTE	99.7	584	2	0	1	584	1	584	0.0	905
evm.utg4.13	tr|A0A6P8J6P5|A0A6P8J6P5_ACTTE	100	378	0	0	1	378	1	378	4.46e-276	750
evm.utg4.14	tr|A0A6P8J1R7|A0A6P8J1R7_ACTTE	96.4	887	1	1	1	856	32	918	0.0	1460
evm.utg4.15	tr|A0A6P8J1W2|A0A6P8J1W2_ACTTE	100	335	0	0	1	335	1	335	6.05e-250	681
evm.utg4.15.1.5c22f047	tr|A0A6P8J1W2|A0A6P8J1W2_ACTTE	100	304	0	0	15	318	32	335	6.68e-229	627
evm.utg4.16	tr|A0A6P8J1Q0|A0A6P8J1Q0_ACTTE	98.7	607	0	1	1	599	1	607	0.0	1196
evm.utg4.17	tr|A0AAD9UVZ0|A0AAD9UVZ0_ACRCE	67.1	502	118	4	51	507	284	783	4.31e-233	663
evm.utg4.18	tr|A0A6P8J6K9|A0A6P8J6K9_ACTTE	94.3	1621	18	2	1	1546	1	1621	0.0	2986
evm.utg4.18.1.5c22f04a	tr|A0A6P8J6K9|A0A6P8J6K9_ACTTE	94.2	1560	16	2	1	1485	1	1560	0.0	2873
evm.utg4.19	tr|A0A6P8J1W9|A0A6P8J1W9_ACTTE	100	125	0	0	1	125	1	125	4.72e-91	261
evm.utg4.20	tr|A0A6P8J1Y1|A0A6P8J1Y1_ACTTE	100	207	0	0	1	207	1	207	1.21e-151	421
utg4.equina_smart_817336.mrna2	tr|A0A3M6UQ70|A0A3M6UQ70_POCDA	68.8	64	20	0	3	66	1	64	3.28e-27	96.3
evm.utg4.21	tr|A0A6P8HIC7|A0A6P8HIC7_ACTTE	88.7	781	76	4	37	812	33	806	0.0	1433
evm.utg4.22	tr|A0A6S7J8R2|A0A6S7J8R2_PARCT	51.5	262	115	2	71	331	86	336	1.91e-82	258
evm.utg4.23	tr|A0A6P8J0X5|A0A6P8J0X5_ACTTE	72.9	218	0	1	1	159	23	240	1.24e-100	291
evm.utg4.24	tr|A0A6P8I0B2|A0A6P8I0B2_ACTTE	97.5	202	4	1	1	202	1	201	4.07e-145	404
evm.utg4.25	tr|A0A7D9IX00|A0A7D9IX00_PARCT	67.6	105	33	1	7	110	7	111	1.54e-44	150
evm.utg4.26	tr|A0A6P8I0B2|A0A6P8I0B2_ACTTE	91.1	202	16	2	1	201	1	201	2.94e-131	372
evm.utg4.27	tr|A0A6P8J1S5|A0A6P8J1S5_ACTTE	100	182	0	0	54	235	1	182	2.76e-129	365
evm.utg4.31	tr|A0A6P8J9I2|A0A6P8J9I2_ACTTE	99.9	1131	1	0	1	1131	1	1131	0.0	2170
evm.utg4.31.1.5c22f04a	tr|A0A6P8J0V4|A0A6P8J0V4_ACTTE	99.8	875	2	0	1	875	1	875	0.0	1670
evm.utg4.32	tr|A0A6P8J0X9|A0A6P8J0X9_ACTTE	100	136	0	0	1	136	1	136	9.46e-89	266
evm.utg4.33	tr|A0A6P8J9H7|A0A6P8J9H7_ACTTE	99.5	215	1	0	1	215	1	215	4.33e-149	416
evm.utg4.34	tr|A0A6P8J6M2|A0A6P8J6M2_ACTTE	100	203	0	0	1	203	1	203	9.58e-147	409
evm.utg4.34.1.5c22f04a	tr|A0A6P8J6M2|A0A6P8J6M2_ACTTE	100	154	0	0	1	154	1	154	5.07e-110	314
evm.utg4.34.1.5c22f04a.1.5c27949c	tr|A0A6P8J6M2|A0A6P8J6M2_ACTTE	100	114	0	0	1	114	1	114	8.19e-78	231
evm.utg4.35	tr|A0A913Y5G0|A0A913Y5G0_EXADI	70.7	406	111	5	1	399	7	411	7.82e-194	548
evm.utg4.36	tr|A0A6P8IEY9|A0A6P8IEY9_ACTTE	100	516	0	0	1	516	1	516	0.0	1055
evm.utg4.37	tr|A0A6P8IE83|A0A6P8IE83_ACTTE	100	148	0	0	1	148	1	148	8.24e-112	316
evm.utg4.38	tr|A0A6P8IA64|A0A6P8IA64_ACTTE	99.4	675	4	0	1	675	1	675	0.0	1337
evm.utg4.39	tr|A0A6P8I8T9|A0A6P8I8T9_ACTTE	99.5	586	3	0	1	586	1	586	0.0	1143
evm.utg4.40	tr|A0A913Y5J3|A0A913Y5J3_EXADI	82.4	552	94	3	1	551	1	550	0.0	898
evm.utg4.41	tr|A0A6P8IE79|A0A6P8IE79_ACTTE	100	626	0	0	1	626	1	626	0.0	1286
evm.utg4.42	tr|A0A6P8I8T5|A0A6P8I8T5_ACTTE	100	81	0	0	1	81	1	81	1.52e-53	163
evm.utg4.43	tr|A0A6P8IA67|A0A6P8IA67_ACTTE	99.3	1359	9	0	1	1359	1	1359	0.0	2700
evm.utg4.44	tr|A0A6P8IE84|A0A6P8IE84_ACTTE	99.8	427	1	0	1	427	1	427	3.74e-302	820
evm.utg4.45	tr|A0A6P8IC26|A0A6P8IC26_ACTTE	100	189	0	0	14	202	1	189	4.19e-133	374
evm.utg4.45.1.5c22f04b	tr|A0A6P8IC26|A0A6P8IC26_ACTTE	90.3	175	15	1	14	188	1	173	7.66e-108	309
